Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Industry,Hero Title,Hero Description,Address Line 1,Address Line 2,Phone,Email,Image 1,Image 2
Dental,dental,683f308bef85b914371fa3c7,67c4e62250923072710d476f,683f30993b16790dc25dd983,false,false,Tue Jun 03 2025 17:27:53 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:09:59 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:10:49 GMT+0000 (Coordinated Universal Time),dental,,,,,,,https://cdn.prod.website-files.com/67c4e62250923072710d478a/684c2e53a3554dd4189506b0_image_wrapper_2x.webp,https://cdn.prod.website-files.com/67c4e62250923072710d478a/684c2e4a3b83bb1794cbaa74_img_lg_2x.webp
Finance,finance,683f308bef85b914371fa3c7,67c4e62250923072710d476f,683f30993b16790dc25dd97b,false,false,Tue Jun 03 2025 17:27:53 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:09:59 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:10:49 GMT+0000 (Coordinated Universal Time),finance,,,,,,,,
Real Estate,real-estate,683f308bef85b914371fa3c7,67c4e62250923072710d476f,683f30993b16790dc25dd97f,false,false,Tue Jun 03 2025 17:27:53 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:09:59 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:10:49 GMT+0000 (Coordinated Universal Time),real-estate,,,,,,,,
Small Business,small-business,683f308bef85b914371fa3c7,67c4e62250923072710d476f,683f30993b16790dc25dd97d,false,false,Tue Jun 03 2025 17:27:53 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:09:59 GMT+0000 (Coordinated Universal Time),Thu Jun 26 2025 21:10:49 GMT+0000 (Coordinated Universal Time),small-business,,,,,,,,
